Item,Ref Des,Qty,Manufacturer,Mfg Part #,Description / Value,Package,Type,Your Instructions / Notes
1,"C13,C16,C36,C37",4,Murata,GRM155C71H104JE19D,100nF 50V 5%,C_0402_1005Metric,SMD,GRM155C71H104JE19D or similar; Unpolarized capacitor;
2,C17,1,Murata,GRM188R71A225KE15D,2.2uF 10V,C_0603_1608Metric,SMD,; Unpolarized capacitor; 
3,"C18,C19,C23,C24,C41,C1,C28",7,Samsung,CL05B104KQ5NNNC,100nF 6.3V,C_0402_1005Metric,SMD,CL05B104KQ5NNNC or similar; Unpolarized capacitor;
4,"C21,C20,C22,C29",4,Murata,GRM219R61C226ME15L,22uF 16V,C_0805_2012Metric,SMD,; Unpolarized capacitor; 
5,"C26,C42",2,Yageo,CC0402KRX7R5BB103,10nF 6.3V,C_0402_1005Metric,SMD,Any 10nF 6.3V X5R or X7R ceramic capacitor; Unpolarized capacitor;
6,C3,1,Murata,ZRB15XR61A106ME01D,10uF 10V,C_0402_1005Metric,SMD,; Unpolarized capacitor; 
7,C30,1,AVX,0402YC102KAT2A,1nF 16V,C_0402_1005Metric,SMD,0402YC102KAT2A or similar 1nF 16V; Unpolarized capacitor;
8,"C31,C32,C35",3,Murata,GRM1555C1H220FA01D,22pF 50V 1%,C_0402_1005Metric,SMD,GRM1555C1H220FA01D - 50V.    ; Unpolarized capacitor;
9,"C33,C27",2,AVX,0603YC105JAT2A,1uF 16V X7R,C_0402_1005Metric,SMD,6.3V would be enough; Unpolarized capacitor;
10,C34,1,Murata,GRM155R71H473KE14D,47nF 50V X7R,C_0402_1005Metric,SMD,; Unpolarized capacitor; 
11,"C39,C40",2,Murata,GRT155C80J105KE01D,1uF 6.3V,C_0402_1005Metric,SMD,; Unpolarized capacitor; 
12,"C4,C2,C6,C5,C7,C9,C8,C10,C12,C11,C14,C15,C38",13,Murata,GRM21BR61H106KE43L,10uF 50V,C_0805_2012Metric,SMD,; Unpolarized capacitor; 
13,"D1,D4,D6",3,ROHM,SML-P12MTT86,green,LED_0402_1005Metric,SMD,; Light emitting diode; 
14,D2,1,Comchip,CZRU52C2V7-HF,2.84V,D_SOD-523,SMD,Any 2.84V (+/-0.2V) Zener diode; Zener diode; https://www.mouser.at/datasheet/2/80/CZRU52C2-HF_THRU_CZRU52C39-HF-RevA-1481427.pdf
15,D3,1,OSRAM Opto,LB QH9G-N1OO-35-1,blue,LED_0402_1005Metric,SMD,; Light emitting diode; 
16,D5,1,ROHM Semiconductors,SML-P12YTT86RR,yellow,LED_0402_1005Metric,SMD,; Light emitting diode; 
17,D7,1,Comchip,CPDT-12V,CPDT-12V,SOT-23,SMD,"; Dual Line CAN Bus Protector, 24Vrwm; http://www.onsemi.com/pub_link/Collateral/NUP2105L-D.PDF"
18,D9,1,Wurth,150040RS73240,red,LED_0402_1005Metric,SMD,any approx. 2V red LED; Light emitting diode; https://www.mouser.at/datasheet/2/445/150040RS73240-1713960.pdf
19,FB1,1,Murata,BLM21SP181SZ1D,180Ω@100Mhz,L_0805_2012Metric,SMD,; Ferrite bead; 
20,FB2,1,Murata,BLM18DN381SH1D,380Ω@100Mhz,L_0603_1608Metric,SMD,; Ferrite bead; 
21,FL1,1,TDK,KCZ1210AH900HRTD25,CMC,CMC_Filter_0504,SMD,"; EMI 2-inductor filter, pin-connections 1-4 and 2-3;"
25,J4,1,JST,JST_SH_BM06B-SRSS-TB_1x06-1MP,SPI1,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,SMD,"; Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/);"
30,J8,1,JST,JST_SH_BM04B-SRSS-TB_1x04-1MP,Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,SMD,"; Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/);"
34,L1,1,Coilcraft,XGL4020-102MEC,1uH,L_Coilcraft_XxL4020,SMD,; Inductor; 
35,Q2,1,On Semi,BC847BTT1G,BC847BTT1G,SOT-416,SMD,"beta=150 footprint SC-75-3; NPN transistor, base/emitter/collector;"
36,"Q4,Q6",2,TI,CSD25501F3,CSD25501F3,FemtoFET_0.7x0.6_YJN3,SMD,"; P-MOSFET transistor, gate/source/drain; "
37,R11,1,,Resistor,1MΩ,R_0402_1005Metric,SMD,; Resistor; 
38,R12,1,,Resistor,18k,R_0402_1005Metric,SMD,; Resistor; 
39,R15,1,,Resistor,2k2,R_0402_1005Metric,SMD,; Resistor; 
40,"R16,R14,R28,R27,R26",5,,Resistor,330Ω,R_0402_1005Metric,SMD,; Resistor; 
41,R17,1,,Resistor,1k,R_0402_1005Metric,SMD,; Resistor; 
42,R19,1,,Resistor,120Ω 1%,R_0402_1005Metric,SMD,; Resistor; 
43,R2,1,,Resistor,200Ω,R_0402_1005Metric,SMD,; Resistor; 
44,R22,1,,Resistor,100Ω,R_0402_1005Metric,SMD,; Resistor; 
45,R24,1,,Resistor,22Ω,R_0402_1005Metric,SMD,; Resistor; 
46,"R25,R29",2,,Resistor,4k7,R_0402_1005Metric,SMD,; Resistor; 
47,"R3,R5",2,,Resistor,10k,R_0402_1005Metric,SMD,; Resistor; 
48,"R4,R13,R18,R20,R9,R1,R10,R21,R23",9,,Resistor,5.1k,R_0402_1005Metric,SMD,; Resistor; 
49,R6,1,,Resistor,47k 1%,R_0402_1005Metric,SMD,; Resistor; 
50,R7,1,,Resistor,2.2k 1%,R_0402_1005Metric,SMD,; Resistor; 
51,"SW1,SW2",2,TE Connectivity / Alcoswitch,USLPT2616CT2TR,SW_Push,USLPT2616CT2TR,SMD,"; Push button switch, generic, two pins; "
52,U1,1,TI,TPS63061,TPS63061,Texas_S-PWSON-N10_ThermalVias,SMD,"; Buck/boost regulator 1.3A boost, 2A buck, 5V fixed output voltage; http://www.ti.com/lit/ds/symlink/tps63060.pdf"
53,U2,1,Micrel / Microchip,MIC5524-3.3YMT-T5,MIC5524-3.3YMT-T5,TDFN-4-1EP_1x1mm_P0.65mm_EP0.5x0.5mm,SMD,"; 500mA low dropout LDO, Fixed or Adjustable, 1x1mm Thin-DFN; https://www.mouser.at/datasheet/2/268/MIC5524-875860.pdf"
54,U3,1,Microchip,MCP2542WFDxMF,MCP2542WFDxMF,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,SMD,"; CAN-FD Transceiver, Wake-Up on CAN activity, 8Mbps, 5V supply, STBY pin, 3x3 DFN-8; http://ww1.microchip.com/downloads/en/DeviceDoc/MCP2542FD-4FD-MCP2542WFD-4WFD-Data-Sheet20005514B.pdf"
55,U4,1,Microchip,AT30TS74-U1FMCB-T,AT30TS74-U1FMCB-T,Texas_DSBGA-5_0.822x1.116mm_Layout2x1x2_P0.4mm,SMD,"; 9- to 12-bit Selectable, ±1.0°C Accurate Digital Temperature Sensor;"
56,U5,1,Texas Instruments,DRV8316,DRV8316,vQFN-40_EP_5x7_Pitch0.5mm,SMD,; 40-V max 8-A peak 3-phase motor driver with integrated current sensing; https://www.ti.com/lit/gpn/DRV8316
57,U6,1,Espressif,ESP32-PICO-D4,ESP32-PICO-D4,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,SMD,"; RF Module, ESP32 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, external antenna, QFN-48; https://www.espressif.com/sites/default/files/documentation/esp32-pico-d4_datasheet_en.pdf"
58,U7,1,MagAlpha,MA732GQ,MA732,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,SMD,"; Magnetic rotary angle sensor, 14-bit, SPI interface, ABZ, PWM, QFN-16; https://www.monolithicpower.com/pub/media/document/m/a/ma730_r1.01.pdf"